ID	Block	Trial	TTrial	Task	CorrectKey	RT	Resp	Error	imageShown	totalEarned	LeftCorrect	RightCorrect	Response	DelayStep	totalTime	RTBASELINE	DELAY	DelayArea	blockType	LEFTREWARD	RIGHTREWARD	LeftTask	RightTask	CURRENTTASKSQUARE	LeftPos	RightPos	LeftImg	RightImg
68	5	177	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	DOWNRIGHT 	UPLEFT 	UPRIGHT 
68	5	178	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNLEFT 	UPLEFT 	UPLEFT 
68	5	179	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	UPRIGHT 	UPLEFT 	DOWNRIGHT 
68	5	180	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	UPRIGHT 	DOWNLEFT 	DOWNLEFT 
68	5	181	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	DOWNLEFT 	UPLEFT 
68	5	182	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNRIGHT 	DOWNLEFT 	DOWNLEFT 
68	5	183	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	DOWNRIGHT 	UPRIGHT 	UPRIGHT 
68	5	184	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	UPRIGHT 	UPRIGHT 	UPLEFT 
68	5	185	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	UPLEFT 	DOWNLEFT 	DOWNRIGHT 
68	5	186	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	UPRIGHT 	UPRIGHT 	UPLEFT 
68	5	187	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	UPLEFT 	DOWNRIGHT 	UPRIGHT 
68	5	188	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	UPRIGHT 	DOWNLEFT 	UPLEFT 
68	5	189	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNRIGHT 	DOWNRIGHT 	UPLEFT 
